"","Name","BB.","K.","Zone...pi.","Contact...pi.","Z.Contact...pi.","O.Contact...pi.","Swing...pi.","Z.Swing...pi.","O.Swing...pi.","eye.fit.cluster"
"1","Mike Trout",0.196,0.183,0.504,0.842,0.912,0.636,0.373,0.551,0.191,5
"2","Mookie Betts",0.118,0.13,0.475,0.861,0.921,0.709,0.364,0.552,0.194,5
"3","J.D. Martinez",0.1,0.241,0.452,0.727,0.823,0.544,0.516,0.748,0.325,3
"4","Freddie Freeman",0.13,0.171,0.449,0.793,0.855,0.656,0.523,0.799,0.298,3
"5","Jose Ramirez",0.135,0.119,0.48,0.862,0.918,0.735,0.406,0.589,0.238,5
"6","Nolan Arenado",0.132,0.182,0.464,0.777,0.845,0.636,0.473,0.687,0.288,3
"7","Aaron Judge",0.161,0.306,0.435,0.67,0.789,0.415,0.377,0.591,0.212,5
"8","Eugenio Suarez",0.116,0.182,0.456,0.805,0.91,0.573,0.448,0.678,0.256,4
"9","Brandon Belt",0.128,0.222,0.473,0.765,0.852,0.568,0.471,0.692,0.273,3
"10","Eduardo Escobar",0.072,0.222,0.457,0.764,0.828,0.667,0.533,0.699,0.393,1
"11","Eddie Rosario",0.055,0.168,0.481,0.77,0.809,0.699,0.558,0.745,0.384,1
"12","Matt Kemp",0.058,0.231,0.478,0.712,0.798,0.552,0.514,0.701,0.342,3
"13","Joey Votto",0.166,0.141,0.498,0.849,0.864,0.793,0.414,0.659,0.172,5
"14","Andrew Benintendi",0.125,0.163,0.477,0.82,0.842,0.769,0.457,0.665,0.267,4
"15","Manny Machado",0.101,0.144,0.448,0.813,0.901,0.633,0.48,0.722,0.284,3
"16","Scooter Gennett",0.056,0.196,0.495,0.821,0.873,0.729,0.515,0.662,0.372,2
"17","Paul Goldschmidt",0.134,0.287,0.459,0.742,0.816,0.591,0.418,0.61,0.255,4
"18","Jose Martinez",0.099,0.139,0.45,0.836,0.912,0.69,0.415,0.606,0.257,4
"19","Francisco Lindor",0.089,0.185,0.473,0.811,0.886,0.686,0.477,0.63,0.34,2
"20","Michael Brantley",0.059,0.085,0.491,0.89,0.968,0.714,0.447,0.629,0.27,4
"21","Shin-Soo Choo",0.148,0.224,0.483,0.76,0.828,0.557,0.402,0.621,0.197,5
"22","Jose Altuve",0.079,0.131,0.485,0.832,0.887,0.745,0.479,0.607,0.359,2
"23","Kris Bryant",0.114,0.205,0.47,0.772,0.866,0.556,0.476,0.704,0.273,3
"24","Nick Markakis",0.1,0.1,0.5,0.889,0.932,0.786,0.423,0.596,0.249,4
"25","Trevor Story",0.09,0.263,0.476,0.765,0.865,0.54,0.475,0.688,0.281,3
"26","Nelson Cruz",0.08,0.191,0.434,0.706,0.863,0.424,0.465,0.689,0.294,3
"27","Alex Bregman",0.135,0.123,0.49,0.882,0.897,0.833,0.377,0.592,0.171,5
"28","Teoscar Hernandez",0.058,0.231,0.495,0.685,0.804,0.454,0.518,0.69,0.349,2
"29","Lorenzo Cain",0.139,0.168,0.462,0.815,0.881,0.651,0.403,0.621,0.216,5
"30","Mitch Haniger",0.112,0.227,0.466,0.753,0.872,0.523,0.417,0.589,0.267,4
"31","Matt Davidson",0.14,0.346,0.443,0.686,0.747,0.559,0.416,0.637,0.239,4
"32","Charlie Blackmon",0.107,0.195,0.47,0.833,0.895,0.732,0.45,0.595,0.321,4
"33","Rhys Hoskins",0.149,0.261,0.463,0.763,0.853,0.553,0.389,0.587,0.219,5
"34","Xander Bogaerts",0.068,0.2,0.469,0.781,0.873,0.597,0.442,0.629,0.278,4
"35","Nicholas Castellanos",0.049,0.227,0.464,0.707,0.847,0.457,0.548,0.756,0.367,1
"36","Brandon Crawford",0.076,0.199,0.463,0.722,0.83,0.506,0.522,0.751,0.324,3
"37","Christian Yelich",0.1,0.221,0.473,0.767,0.887,0.536,0.422,0.587,0.275,4
"38","Jean Segura",0.038,0.141,0.498,0.875,0.944,0.75,0.5,0.646,0.354,2
"39","Khris Davis",0.087,0.268,0.496,0.689,0.767,0.482,0.493,0.722,0.268,3
"40","George Springer",0.094,0.176,0.484,0.773,0.848,0.576,0.439,0.658,0.233,4
"41","Carlos Correa",0.116,0.245,0.437,0.773,0.879,0.599,0.416,0.592,0.28,4
"42","Kyle Schwarber",0.167,0.252,0.459,0.75,0.83,0.594,0.409,0.59,0.256,5
"43","Travis Shaw",0.128,0.171,0.472,0.813,0.876,0.679,0.433,0.622,0.264,4
"44","David Peralta",0.074,0.221,0.462,0.784,0.877,0.617,0.479,0.663,0.321,2
"45","Nomar Mazara",0.083,0.213,0.468,0.769,0.861,0.598,0.458,0.636,0.302,4
"46","Jorge Soler",0.109,0.268,0.438,0.65,0.788,0.389,0.437,0.653,0.269,4
"47","Odubel Herrera",0.072,0.198,0.461,0.769,0.872,0.605,0.497,0.664,0.355,2
"48","Andrelton Simmons",0.096,0.038,0.499,0.896,0.933,0.794,0.421,0.618,0.224,4
"49","Aaron Hicks",0.123,0.184,0.483,0.794,0.862,0.563,0.403,0.646,0.177,5
"50","Jeimer Candelario",0.115,0.253,0.48,0.789,0.877,0.599,0.415,0.591,0.254,5
"51","Miguel Andujar",0.037,0.181,0.469,0.819,0.917,0.653,0.513,0.688,0.358,2
"52","Albert Almora Jr.",0.067,0.16,0.485,0.786,0.89,0.601,0.53,0.701,0.37,1
"53","Eric Hosmer",0.108,0.212,0.432,0.742,0.859,0.563,0.462,0.648,0.32,2
"54","Jose Abreu",0.059,0.184,0.44,0.781,0.873,0.651,0.514,0.685,0.379,2
"55","Tommy Pham",0.109,0.24,0.5,0.787,0.897,0.5,0.408,0.589,0.227,5
"56","Brian Anderson",0.095,0.193,0.497,0.784,0.84,0.638,0.436,0.633,0.242,4
"57","Jed Lowrie",0.083,0.212,0.502,0.822,0.869,0.702,0.48,0.686,0.272,3
"58","Justin Bour",0.17,0.228,0.42,0.755,0.856,0.609,0.383,0.54,0.27,5
"59","Matt Duffy",0.053,0.178,0.509,0.828,0.916,0.639,0.485,0.65,0.314,2
"60","Giancarlo Stanton",0.085,0.315,0.402,0.639,0.781,0.453,0.452,0.638,0.328,2
"61","Willson Contreras",0.099,0.187,0.486,0.771,0.838,0.612,0.481,0.695,0.279,3
"62","Matt Chapman",0.114,0.239,0.495,0.782,0.852,0.595,0.405,0.595,0.218,5
"63","Buster Posey",0.093,0.117,0.489,0.861,0.901,0.774,0.461,0.648,0.281,4
"64","Anthony Rendon",0.108,0.167,0.503,0.882,0.922,0.797,0.442,0.597,0.286,4
"65","Leonys Martin",0.095,0.216,0.475,0.771,0.867,0.557,0.488,0.71,0.287,3
"66","Bryce Harper",0.171,0.232,0.428,0.688,0.757,0.563,0.475,0.716,0.295,3
"67","Didi Gregorius",0.096,0.138,0.472,0.806,0.883,0.659,0.522,0.727,0.338,3
"68","Whit Merrifield",0.094,0.159,0.477,0.821,0.898,0.672,0.472,0.652,0.309,2
"69","Starling Marte",0.073,0.201,0.458,0.773,0.893,0.544,0.514,0.737,0.326,3
"70","Andrew McCutchen",0.106,0.229,0.519,0.781,0.836,0.589,0.433,0.649,0.201,4
"71","Justin Upton",0.107,0.275,0.487,0.719,0.818,0.491,0.434,0.621,0.256,4
"72","Matt Carpenter",0.125,0.249,0.496,0.762,0.84,0.557,0.361,0.529,0.196,5
"73","Denard Span",0.143,0.147,0.505,0.877,0.929,0.752,0.39,0.546,0.231,5
"74","Wilson Ramos",0.063,0.201,0.453,0.776,0.884,0.594,0.553,0.766,0.377,1
"75","Colin Moran",0.107,0.167,0.487,0.804,0.885,0.598,0.459,0.676,0.252,4
"76","Yangervis Solarte",0.07,0.14,0.417,0.836,0.919,0.722,0.538,0.747,0.389,1
"77","Justin Smoak",0.16,0.245,0.472,0.785,0.863,0.622,0.389,0.556,0.24,5
"78","Asdrubal Cabrera",0.056,0.198,0.485,0.816,0.875,0.694,0.502,0.696,0.32,3
"79","Carlos Santana",0.168,0.132,0.462,0.836,0.911,0.66,0.399,0.605,0.222,5
"80","Jon Jay",0.075,0.165,0.495,0.827,0.911,0.654,0.461,0.628,0.298,4
"81","Chris Taylor",0.099,0.256,0.499,0.741,0.82,0.489,0.459,0.699,0.219,4
"82","Javier Baez",0.042,0.249,0.445,0.688,0.816,0.515,0.607,0.786,0.463,1
"83","Corey Dickerson",0.04,0.12,0.469,0.824,0.862,0.775,0.577,0.694,0.475,1
"84","Cesar Hernandez",0.15,0.222,0.484,0.791,0.89,0.546,0.358,0.528,0.199,5
"85","Mike Moustakas",0.075,0.141,0.456,0.797,0.877,0.654,0.536,0.752,0.354,1
"86","Cody Bellinger",0.12,0.264,0.476,0.698,0.73,0.626,0.435,0.63,0.258,4
"87","Derek Dietrich",0.045,0.238,0.503,0.802,0.864,0.676,0.495,0.661,0.328,2
"88","Yasmani Grandal",0.105,0.238,0.473,0.748,0.816,0.624,0.389,0.532,0.262,5
"89","C.J. Cron",0.063,0.273,0.452,0.724,0.82,0.588,0.496,0.643,0.376,2
"90","Anthony Rizzo",0.105,0.131,0.456,0.849,0.932,0.686,0.468,0.681,0.29,3
"91","Adam Jones",0.03,0.159,0.448,0.769,0.889,0.598,0.552,0.724,0.411,1
"92","Ozzie Albies",0.051,0.175,0.48,0.816,0.856,0.743,0.552,0.742,0.376,1
"93","Trea Turner",0.106,0.174,0.495,0.808,0.875,0.64,0.449,0.648,0.255,4
"94","Addison Russell",0.1,0.22,0.468,0.744,0.852,0.518,0.462,0.668,0.282,4
"95","Marcell Ozuna",0.06,0.185,0.437,0.765,0.858,0.625,0.48,0.661,0.34,2
"96","Jurickson Profar",0.087,0.126,0.494,0.85,0.922,0.698,0.482,0.663,0.305,2
"97","Edwin Encarnacion",0.089,0.255,0.446,0.767,0.869,0.583,0.452,0.654,0.289,4
"98","Yonder Alonso",0.093,0.21,0.449,0.772,0.898,0.529,0.497,0.729,0.307,3
"99","Brett Gardner",0.115,0.175,0.509,0.883,0.916,0.805,0.347,0.483,0.207,5
"100","Gerardo Parra",0.053,0.167,0.454,0.81,0.911,0.654,0.513,0.687,0.369,2
"101","Matt Olson",0.085,0.285,0.468,0.695,0.727,0.624,0.445,0.662,0.254,4
"102","Michael Conforto",0.151,0.239,0.467,0.753,0.821,0.611,0.428,0.62,0.259,4
"103","Tucker Barnhart",0.112,0.191,0.48,0.806,0.902,0.616,0.449,0.621,0.289,4
"104","Gregory Polanco",0.125,0.234,0.443,0.772,0.86,0.604,0.441,0.653,0.273,4
"105","Marwin Gonzalez",0.097,0.253,0.457,0.768,0.86,0.617,0.423,0.574,0.296,4
"106","Joey Gallo",0.107,0.376,0.434,0.62,0.755,0.409,0.485,0.682,0.335,2
"107","Jesse Winker",0.132,0.145,0.47,0.848,0.933,0.664,0.415,0.606,0.247,4
"108","Yulieski Gurriel",0.036,0.112,0.453,0.827,0.923,0.675,0.504,0.68,0.359,2
"109","Max Kepler",0.119,0.152,0.458,0.836,0.911,0.688,0.443,0.641,0.275,4
"110","Gary Sanchez",0.119,0.246,0.438,0.726,0.879,0.511,0.441,0.588,0.326,4
"111","Jordy Mercer",0.076,0.184,0.485,0.79,0.893,0.597,0.429,0.577,0.289,4
"112","Yolmer Sanchez",0.053,0.187,0.505,0.804,0.875,0.679,0.505,0.633,0.374,2
"113","Yoan Moncada",0.096,0.356,0.489,0.683,0.795,0.404,0.43,0.629,0.24,4
"114","Mallex Smith",0.077,0.206,0.509,0.746,0.825,0.567,0.497,0.678,0.31,3
"115","Tim Anderson",0.08,0.252,0.454,0.729,0.856,0.544,0.53,0.69,0.397,1
"116","Josh Bell",0.113,0.188,0.422,0.775,0.849,0.649,0.436,0.653,0.277,4
"117","Dansby Swanson",0.063,0.276,0.461,0.752,0.849,0.598,0.482,0.642,0.346,2
"118","Jose Iglesias",0.045,0.106,0.503,0.885,0.95,0.782,0.492,0.603,0.38,2
