"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","Zone% (pi)","Contact% (pi)","Z-Contact% (pi)","O-Contact% (pi)","Swing% (pi)","Z-Swing% (pi)","O-Swing% (pi)","playerid"
"Mookie Betts","Red Sox","62","280","20","61","41","14","12.5 %","12.5 %",".340",".323",".336",".425",".676",".456","193","2.6","33.1","1.9","4.6","47.5 %","85.9 %","92.0 %","70.2 %","35.8 %","54.5 %","18.8 %","13611"
"Mike Trout","Angels","82","362","23","63","48","13","19.6 %","19.6 %",".320",".354",".320",".460",".641",".455","199","2.8","44.8","2.5","6.2","49.8 %","83.8 %","89.8 %","65.7 %","36.8 %","55.5 %","18.2 %","10155"
"J.D. Martinez","Red Sox","78","335","25","57","64","2","9.9 %","23.3 %",".322",".365",".326",".394",".648",".435","179","-1.5","29.4","-9.8","3.2","45.5 %","73.2 %","83.1 %","54.2 %","51.5 %","74.6 %","32.2 %","6184"
"Jose Ramirez","Indians","78","349","23","55","52","13","14.6 %","12.0 %",".307",".272",".291",".395",".598",".414","165","4.3","31.0","6.2","5.1","47.6 %","86.3 %","91.7 %","74.3 %","40.5 %","58.9 %","23.8 %","13510"
"Nolan Arenado","Rockies","75","331","19","53","56","2","12.7 %","18.1 %",".276",".329",".308",".393",".584",".409","145","-1.0","16.8","3.3","3.2","47.0 %","77.7 %","83.9 %","64.5 %","47.3 %","68.3 %","28.7 %","9777"
"Brandon Nimmo","Mets","69","243","12","40","25","7","11.5 %","28.0 %",".281",".358",".276",".395",".557",".406","162","0.7","18.9","-0.7","2.7","47.2 %","76.8 %","85.6 %","56.1 %","41.4 %","61.8 %","23.3 %","12927"
"Eugenio Suarez","Reds","64","280","16","37","59","1","11.4 %","17.9 %",".271",".320",".304",".389",".575",".404","155","-1.0","17.7","0.1","2.8","46.5 %","80.5 %","90.1 %","57.9 %","45.7 %","69.0 %","25.4 %","12552"
"Freddie Freeman","Braves","79","355","15","51","54","6","13.0 %","18.9 %",".230",".364",".318",".408",".548",".402","155","1.0","24.7","-3.2","3.4","45.1 %","79.0 %","84.8 %","66.8 %","53.4 %","80.3 %","31.4 %","5361"
"Aaron Judge","Yankees","76","343","20","53","52","4","16.3 %","30.6 %",".277",".363",".277",".397",".553",".401","158","0.2","23.5","2.1","3.8","43.6 %","67.1 %","78.8 %","42.1 %","38.0 %","59.2 %","21.6 %","15640"
"Nelson Cruz","Mariners","67","284","21","34","51","1","8.5 %","18.7 %",".301",".273",".277",".363",".578",".396","159","-2.8","16.7","-7.2","2.0","44.5 %","71.2 %","85.8 %","43.0 %","46.8 %","69.3 %","28.8 %","2434"
"Jose Altuve","Astros","83","365","7","55","41","12","9.6 %","12.6 %",".145",".385",".345",".410",".489",".389","154","2.8","25.6","-0.6","3.9","47.8 %","83.1 %","88.9 %","73.8 %","47.2 %","60.6 %","34.9 %","5417"
"Joey Votto","Reds","80","350","8","42","42","1","17.4 %","14.9 %",".155",".339",".297",".429",".452",".386","143","-1.1","17.2","-3.7","2.5","49.3 %","84.9 %","86.6 %","78.7 %","40.2 %","63.8 %","17.3 %","4314"
"Manny Machado","Orioles","79","346","20","40","56","4","10.4 %","13.6 %",".254",".300",".303",".373",".557",".386","147","-0.1","19.0","-2.6","2.9","45.6 %","82.0 %","90.5 %","63.8 %","48.6 %","72.8 %","28.3 %","11493"
"Brandon Belt","Giants","65","275","13","37","37","2","11.6 %","21.8 %",".228",".343",".295",".385",".523",".385","148","1.2","17.0","-1.3","2.5","48.6 %","76.8 %","84.7 %","57.9 %","47.6 %","69.2 %","27.1 %","10264"
"Eddie Rosario","Twins","76","323","17","54","50","6","5.6 %","16.7 %",".253",".330",".309",".348",".563",".384","145","3.7","20.5","-1.1","3.1","48.7 %","77.3 %","81.4 %","69.8 %","55.8 %","74.3 %","38.3 %","12155"
"Paul Goldschmidt","Diamondbacks","79","348","17","56","42","2","13.5 %","27.3 %",".257",".337",".267",".376",".524",".383","142","2.5","20.2","-4.7","2.8","45.5 %","74.9 %","82.0 %","61.0 %","41.5 %","60.6 %","25.5 %","9218"
"Francisco Lindor","Indians","78","367","19","65","44","10","9.5 %","17.7 %",".251",".307",".288",".364",".539",".383","144","0.0","19.0","9.4","4.2","47.5 %","81.2 %","89.1 %","67.5 %","47.2 %","63.2 %","32.7 %","12916"
"Alex Bregman","Astros","80","363","14","50","49","7","13.2 %","12.7 %",".229",".287",".277",".380",".506",".382","149","0.4","21.0","-3.3","3.1","48.8 %","87.5 %","89.5 %","81.3 %","37.9 %","58.8 %","17.9 %","17678"
"Scooter Gennett","Reds","78","322","13","45","53","2","5.9 %","19.6 %",".196",".381",".331",".370",".527",".381","140","0.1","15.6","-1.2","2.6","49.6 %","81.7 %","86.7 %","73.2 %","52.2 %","66.7 %","38.0 %","10339"
"Shin-Soo Choo","Rangers","79","364","14","48","37","3","14.3 %","22.5 %",".195",".349",".287",".396",".482",".380","140","1.3","18.3","-7.6","2.3","48.7 %","76.1 %","83.8 %","54.2 %","39.9 %","60.7 %","20.2 %","3174"
